Brain,AL_left,AL_right,CX,MB_left,MB_right,PI,SEG
2026_03_06nsybxtimer_F_2_100x_AL.tif.frames,0.6127340303440091,1.42521004156773,0.9986295002782688,0.9993153115329544,0.8136148325821778,0.9999961806534222,1.4233573051700374
2026_03_06nsybxtimer_F_2_100x_MB.tif.frames,1.0209827467712456,1.274497922911367,0.7537420582410591,0.7533026967343894,1.3251020960667357,0.758761181148574,0.8862036495489771
2026_03_06nsybxtimer_F_2_100x_SEG.tif.frames,0.7960726189321672,0.5928384857810544,0.7980853728709564,1.016385939612977,0.5989330057481114,0.8381715943529154,0.3303591434017973
2026_03_06nsybxtimer_F_4_100x_AL.tif.frames,0.7865746862621082,0.6002674955631029,0.8034345252300347,0.5914984605392547,0.7930330756395806,1.314104178177936,0.6188306312855262
2026_03_06nsybxtimer_F_4_100x_MB.tif.frames,0.5557562112808228,0.4286898076534271,0.5713101625442505,0.5118770599365234,0.428375780582428,0.5710920691490173,0.2012062161178606
2_18_26 TIMERXREPO2.00v1xFemale2.tif.frames,0.8532597444042234,0.5299577987878914,2.2527985676884423,1.9557789175078997,3.3196239998828885,1.3015301466301483,0.5819777250289917
2_18_26 TIMERXREPO2.00v1xFemale3_20x.tif.frames,1.1889271651743618,1.715102754700481,1.1834965593815467,1.027508359437804,1.184336952922203,1.1693235620157094,0.4292875452342456
2_18_26 TIMERXREPO2.00v1xFemale4_20x.tif.frames,0.6666802167892456,0.6666802167892456,0.9986976385116576,0.9986976385116576,0.6666802167892456,0.6666802167892456,1.333686120035278
2_18_26 TIMERXREPO2.00v1xFemale4_20x_0001.tif.frames,0.8732538819313049,0.8729938765406644,0.8751812084113925,0.62191349196827,0.8638785917786281,0.8688865444755466,0.8694597677470549
2_18_26 TIMERXREPO2.00v1xFemale6_20x.tif.frames,0.9396544634634788,0.8384109663842284,0.9379514172672144,0.9379373084977964,1.2482739826032667,0.9373166786118652,1.2457304597308487
2_18_26 TIMERXREPO2.00v1xFemale6_20x_0001.tif.frames,1.7211727132837036,1.8687864468307127,1.5936217689220389,1.5192826412669804,1.7189344826653827,1.7721158709500973,5.058616464829766
2_18_26 TIMERXREPO2.00v1xFemale6_20xoptimized.tif.frames,0.8942324797296584,1.959917012087762,1.1106244500882276,1.590158780914854,0.84777077160696,1.0112809630255295,2.4873837316609455
2_18_26 TIMERXREPO2.25v1xFemale1_20x.tif.frames,11.550974441298496,5.775839492141212,1.1334869686145423,1.1330923626524902,11.537577750964802,1.1259648830123217,5.775839492141212
2_18_26 TIMERXREPO2.25v1xMale1_20x.tif.frames,1.3337676789637496,1.324689211636458,1.9991044899228,1.9920208657543024,1.330470156497925,1.9920208657543024,0.6669652494888929
2_18_26 TIMERXREPO2.25v1xMale2_20xoptimized.tif.frames,1.3291197944798627,1.444296308246415,1.410773725890623,1.2637735761506994,1.6365034778543264,1.1195351463247696,1.3612869168355846
2_18_26 TIMERXREPO2.25v1xMale2_30xCenteronly.tif.frames,0.4997420689557319,0.4430535282030792,0.7824114976030044,1.2432589429566612,0.4983847910937466,1.2287125652419588,0.4824400003469885
Draper_Dee7_1week_moderate_double_f1,0.9733571006843468,0.9983968734741212,0.9984397796311868,1.1654349633356664,0.8400962422786393,0.9942168216488904,1.166475466438172
Draper_Dee7_1week_moderate_double_f2,0.8734835989451123,0.7292602752494924,0.8941848390192285,0.7522962003581398,1.0225122019941792,1.025646662620408,0.7496623992919922
Draper_Dee7_1week_moderate_double_f3,0.7558147581681268,0.6180097120297671,0.8621149679370165,0.8641355922704387,0.6201302632539403,0.8642097289712313,0.6202510815790542
Draper_Dee7_1week_moderate_double_f4,1.3575094066558395,1.359351590812091,1.1536372206875127,1.1782452569710418,1.1454219827611123,1.3440538651472391,1.159656080279811
Draper_Dee7_1week_moderate_double_f5,0.7173481323966518,0.9994875867624646,0.6692452653805931,0.7539123075095571,0.6677796245389938,0.838246716865646,0.6666594504897203
Draper_Dee7_1week_moderate_double_m1,0.3253243321409572,1.0007674123462071,1.0013090011848662,0.23852976920476,0.3973687955820643,1.0010798298198231,0.9997563251543228
Draper_Dee7_1week_moderate_double_m2,1.1985010255200852,0.9002998011818436,0.9051419188116052,1.0328005407272578,0.9002448023465163,0.9056415762429436,0.8893735132741852
Draper_Dee7_1week_moderate_double_m3,1.1264826458215422,1.1160473098747157,1.0078458542690367,1.004365256103387,1.129246018822514,0.9988175245232752,1.1298744778044385
Draper_Dee7_1week_moderate_double_m4,1.5916312277338736,2.6612455069596894,1.595808611493774,1.9972982030774833,2.6623905062529283,1.389292114558914,3.187885138121195
Draper_Dee7_1week_moderate_double_m5,1.5915422702938762,1.591783879392215,1.5860130800854564,1.2977729978255463,1.1599036955706812,1.595538067589006,1.5899211307279166
Draper_Dee7_1week_moderate_single_f1,0.6814523973468641,0.6181514590010087,0.7310990659045729,0.7265701249661412,0.5326249984468935,0.791189486971599,0.5962361484950414
Draper_Dee7_1week_moderate_single_f2,0.5664825879404999,0.722121190675385,0.733977350887147,0.5625775788579023,0.7272791427049236,0.5745664433881376,2.8369469751457776
Draper_Dee7_1week_moderate_single_f3,1.528396530293293,1.4273344183528371,1.6573886664442736,0.6797061573720568,0.8864051180680304,0.8151044249534607,1.190958080704393
Draper_Dee7_1week_moderate_single_f3 (1),0.098199644448155,2.0028519572319965,1.005691170634861,0.097505599861857,1.003841283302601,1.0028987403054634,0.0981807582004523
Draper_Dee7_1week_moderate_single_f4,2.583721188192247,1.383651514652934,1.0,1.0845869056000152,1.6150486915931108,1.080956734582374,1.0344359451416298
Draper_Dee7_1week_moderate_single_f5,1.1701862473128142,1.1698530577316617,1.0091570391356444,0.67210837455569,0.5736078330194183,1.1680639986360837,1.007828362400184
Draper_Dee7_1week_moderate_single_m1,1.6009375136259174,1.5913819772473723,1.456187990908188,1.324360987067145,1.2287629897223478,0.9843691190098468,2.475811031963302
Draper_Dee7_1week_moderate_single_m2,0.6698056573231824,0.4723133326698424,0.9996440347329792,1.2774966790751443,1.0000608602092853,1.008589685913075,0.4767555746162005
Draper_Dee7_1week_moderate_single_m3,2.495640618200399,2.495640618200399,2.084223081675968,1.823349838971284,1.4397088317923803,1.494496564850026,2.550664032303274
Draper_Dee7_1week_moderate_single_m4,0.0553603042509466,0.0591925989869679,0.0555387518578089,0.0693053118791048,0.05543869465433,0.0690500890352176,0.1580593514114227
Draper_Dee7_1week_moderate_single_m5,1.0009607250145678,0.4041334744457975,1.000438321618219,1.0015563091576642,0.1766853074386069,0.9939245947128192,1.0014779535360476
Draper_Dee7_48hours_moderate_single_m1,1.9998006155636725,1.3996893823483607,1.4039640532255946,1.9969061819068936,0.8750531807099536,1.37853336924877,1.7416488870191045
Draper_Dee7_48hours_moderate_single_m2,1.0745039580919789,0.9197145427413074,0.8887450456650076,1.074463328854281,0.8879911559001259,0.9720860636672326,1.2101052571742843
Draper_Dee7_48hours_moderate_single_m3,0.7056216343687584,1.2870904275061423,0.9546299556531832,1.082264154502934,0.4150321107249332,0.2609761150035377,1.2239195875089497
Draper_Dee7_48hours_moderate_single_m3 (1),2.2346139531540223,1.0,1.0,3.1270674087807393,2.2964794067605405,1.1842288116667363,0.5436363217634863
Draper_Dee7_48hours_moderate_single_m4,1.0691971461490406,1.4184323360998958,0.9954499628607952,1.0704951109890537,0.9976791276134492,1.1091100809087453,1.4275733294289
Draper_Dee7_aged_control_control_f1,1.4943586790492274,1.1258075983158595,1.4980242107479933,1.4996490149759272,1.125051524434787,1.497886437474632,1.4984816373732206
Draper_Dee7_aged_control_control_f2,0.1241896227002143,0.9258235363451932,0.0153531558817768,0.2024699097036248,0.1537520319500064,0.1532373743800719,3.5075876190462254
Draper_Dee7_aged_control_control_f3,0.1854341501681419,0.1391088860486202,0.1850659967332227,0.185465104878767,0.1443166504083282,0.1391542055147457,0.0930962304378081
Draper_Dee7_aged_control_control_f4,0.0158258949870413,0.0236379138624272,0.0158286574877494,1.0024781092778492,0.0234997405186372,0.0157615782009929,0.0157853395629899
Draper_Dee7_aged_severe_single_f1,0.6967386630263896,0.7935784075041729,3.0138376621689513,1.0019796942606678,1.5208023054684836,0.9730576872825624,0.5564517948306318
Draper_Dee7_aged_severe_single_f2,0.4029103638956634,0.3645758148108458,0.4633876101239598,0.5931044259664265,0.4107241313582257,0.5919538683905441,0.4693091950991219
Draper_Dee7_aged_severe_single_f3,2.6407924688919544,2.0927136160096453,1.5964323806785163,1.0,1.7423037787992386,1.611092764311312,0.92997804916908
Draper_Dee7_aged_severe_single_f4,0.2501422536731342,0.2484137219564735,1.171030010967437,1.3027828802629384,1.2587931757548705,1.3001612684018364,0.0935841210638614
Draper_Dee7_aged_severe_single_f5,0.0986708988658476,0.0658052023711218,0.0887890893904008,0.0975880791364983,0.0691275359183044,0.0605745473421892,0.0984207116789378
Draper_Dee7_aged_severe_single_f6,0.1200376601676227,0.3138152478117181,0.1161185802774205,0.1161124483800222,0.3138152478117181,0.1159420380507662,0.3138152478117181
Draper_Dee7_aged_severe_single_f7,0.1073198142485775,1.2312949342797233,0.9951698780059814,0.1075059400520834,0.9979871144310236,0.9917517061580616,0.1985023565228347
Draper_Dee7_paraquat_48h_1week_f1,1.4305161159741158,1.4306424648397702,1.2015299691467347,1.5921369351783528,1.31824887768864,1.1173881280617688,1.436446394429798
Draper_Dee7_paraquat_48h_1week_f2,0.2000298301597357,0.1998548139916294,0.1999856789450464,0.1362553500588992,0.2343265816253822,0.1664457640255942,0.1666542110885688
Draper_Dee7_paraquat_48h_1week_f3,0.2451043663620167,0.218591018643197,0.1748179394201225,0.1495358692864488,0.2181581317380542,0.1652320556591319,0.224369015902047
Draper_Dee7_paraquat_48h_1week_f5,1.3045356885739043,1.0000237282832551,0.9994121193885804,0.7539745050008517,0.999415389911261,0.8745468995860136,1.0001781660090867
Draper_Dee7_paraquat_48h_1week_f6,1.7488531631452902,0.9330708276940528,1.1625820169710468,0.9293310069524412,0.7795104163107159,1.7496452539666107,1.167912495890222
Draper_Dee7_paraquat_48h_1week_f6 (1),0.5712940096855164,0.8572943311728601,0.8568886734250046,0.852807828026481,0.8546508854285932,0.837429242245257,0.8564894919778954
Draper_Dee7_paraquat_48h_1week_m1,0.4093426146242772,2.6471002689235092,0.3072373569011688,0.5492823415518857,0.3605849847339572,0.8039257538464945,1.0270345096550215
Draper_Dee7_paraquat_48h_1week_m2,0.1394087165247807,0.1881030843787836,0.1665388014993274,0.1388778640815592,0.1877372661497906,0.1609465521857821,0.1669409940311503
Draper_Dee7_paraquat_48h_1week_m3,1.5980827817891587,0.8328509743036537,1.3152754381380405,0.3481349458768925,1.7790786246497905,0.3987810280554838,0.4164212406838452
Draper_Dee7_paraquat_48h_1week_m4,0.9643320467600348,1.4998468547526462,1.118022133224431,1.1345368762892334,1.4994432307914622,0.9643764070033052,1.4216086277780764
Draper_Dee7_paraquat_48h_1week_m5,0.1619437198244007,0.2668077387798777,0.1586830761300541,0.1591877917715075,0.1622862036154898,0.1603571386426451,0.1069545536359021
Draper_F_PiezoModerate_48h_01.tif.frames,0.6232275921107167,0.5011182295353727,0.8681740007889571,1.5420768042548392,1.2538551476361504,1.485578933152148,0.3763195458012037
Draper_F_PiezoModerate_48h_01_20x.tif.frames,0.1956726759608076,0.572942842478678,0.3605670783167343,0.4012027771864004,0.5761069404487376,0.1301212959389973,0.5808923624073814
Draper_F_PiezoModerate_48h_01_lowblowout.tif.frames,0.7702628336596337,1.1188855270121318,1.0016464505104548,1.0745871579794295,0.769498239475977,1.0752105177594775,2.0428477246729995
Draper_F_PiezoModerate_48h_02.tif.frames,1.427981461702964,1.427981461702964,0.8394585064685471,0.8386188957795294,0.8354677265472668,0.8367645645579117,1.1216347887574365
Draper_F_PiezoModerate_48h_02_20x.tif.frames,0.7835388558685445,0.8360086630754242,0.4539757823539516,0.4568051069894077,0.7082962958247155,0.9446724109905577,0.4783072173595428
Draper_F_PiezoModerate_48h_02_lowblowout.tif.frames,1.0009298100282782,1.0602368419750985,0.9997619390487672,1.0002903624528316,0.9450322790237534,1.1321918375007234,1.0020469254076387
Draper_F_PiezoModerate_48h_03.tif.frames,1.1623865413730106,1.0494279649288978,0.9517823750473616,1.0833595813156858,1.16482452159898,1.0877285620084565,0.7549689377812828
Draper_F_PiezoModerate_48h_03_20x.tif.frames,1.6833051230933005,1.4399647072859028,1.0527340362597168,1.137419028314936,2.369817917496876,1.2020355170878574,1.6463827052063962
Draper_F_PiezoModerate_48h_03_lowblowout.tif.frames,0.5770464562578187,0.4541607556721221,0.7039341467018689,0.6013741244478583,0.4558562506448813,0.5651196945119448,1.0
Draper_F_PiezoModerate_48h_04.tif.frames,0.618503460364094,0.7743900486037049,0.5482910683326156,0.6383427700100096,0.6370536331813332,0.6185752258038772,
Draper_F_PiezoModerate_48h_04_20x.tif.frames,0.9562798683455122,0.8355118616129578,0.9298693521959206,0.9306047566262076,0.9317449470575844,0.9298584127957836,1.520001368895939
Draper_F_PiezoModerate_48h_04_lowblowout.tif.frames,0.5620413304331168,0.6153689813142577,0.4517139657383931,0.4778598836127914,1.0,0.5258549661741334,0.4302653718270668
Draper_F_PiezoModerate_48h_05.tif.frames,1.0379459106173996,0.7193980054075595,1.1690064902245372,1.1818369525293786,0.9339941010041316,1.1669789713197305,0.934073960582911
Draper_F_PiezoModerate_48h_05_20x.tif.frames,0.9049406409544748,0.904186265753389,5.3597180772023565,4.530678788730902,0.6959569488666066,0.9039377247287482,5.431104026025267
Draper_F_PiezoModerate_48h_05_lowblowout.tif.frames,1.0476992767083655,1.0483672353855151,1.047338658813237,1.138414466397039,1.174662374512225,0.8141923536575634,0.9791387502548916
Draper_M_PiezoModerate_48h_01_20x.tif.frames,0.6317261780623753,0.4066424484657479,0.6352557828968909,0.6320984334400135,0.4084687485257485,0.6357655867392052,0.4076326919192993
Draper_M_PiezoModerate_48h_02_20x.tif.frames,1.1312184828289789,0.9922868428952216,1.0773589215299253,0.9522817858820188,1.053714765300737,1.0795977594252513,1.199052469374957
Draper_M_PiezoModerate_48h_02_lowblowout.tif.frames,1.0,1.0,1.0,1.0,1.0,1.0,0.2409819834673275
Draper_M_PiezoModerate_48h_03_20x.tif.frames,1.2668036636417068,1.876535360907249,1.3692110701699434,1.459961408941837,2.8148747483866794,1.195512835813919,1.3346437994607276
Draper_M_PiezoModerate_48h_03_lowblowout.tif.frames,0.4810664589710534,1.0161976711071268,0.8195739009881998,0.6863718809926892,0.7062554796263454,0.8271360809549058,0.9116238801569952
Stat7_F_PiezoModerate_24h_01_20x.tif.frames,0.66427011215847,0.704287363646114,1.2727174214739714,1.272551761483086,0.7652319869808768,1.277388999315174,0.6758798217157115
Stat7_F_PiezoModerate_24h_01_lowblowout.tif.frames,1.2965571291266405,1.7171209467352806,1.7290033632946162,1.4193100690148386,1.7421047771468834,1.4335547440947665,1.682808200157304
